V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22
1;0;1.48957252517505;4.48862546466392;11.3139897553715;13.9851605075026;12.2406383249905;11.6645755035571;10.9184876314315;7.04436394791118;5.08508448017562;3.94313932727249;2.54130515619981;1.73096510517471;1.09921956580958;0.97699849468966;0.75683446680715;0.365405992655185;0.150550195883248;0.0949976234090679;0.0636223732844261;0.0442185333244427;0
10;0;35.0372889213358;21.2921291965616;13.8588970122589;8.34874745330394;4.49355020979817;3.00210114855524;1.9822072223403;1.45173534706458;1.08504218317728;0.997471819712599;0.592692287693473;0.358365089134157;0.124447098789314;0.0462041593760905;0.0421135343949946;0.0269929367649902;0.0205510635139297;0.0219838346637507;0.011805320075454;0.00342228620603272;0
11;0;1.02819795877401;3.45743532121887;7.3816870735444;10.4461355572666;12.6244660027139;12.8578469471241;11.021194278276;8.16242371998565;5.9863240670305;3.99926947637855;3.07108931210688;2.5874408315598;2.09495128906109;2.16904862474277;1.5032018115801;1.1741611822045;0.890712858993211;1.36068132792224;0.607109497470044;0.412495202354317;0.722983613040191
12;2.77825192672979;7.49486551359068;12.6058628176677;15.8472447558115;16.142262135575;12.5476133213042;8.92279556807063;6.44938345754738;4.92177620959471;3.73562523277509;2.05556971119289;1.51242923520957;0.776758574726794;0.774130815194319;0.571397436408213;0.440020745040965;0.4204380306391;0.344348496325001;0.163533419803817;0.0794615568376942;0.0118551605963909;0
13;0.414614592551299;5.35512316391157;12.7896680958324;12.3894430676998;13.5474954486428;12.1775945736605;10.0720500818534;7.22069684410593;5.19696501150073;3.26337010174491;2.14584519996628;1.54110795529658;0.98815751777601;0.684954177077831;0.75178799217014;0.589698125506399;0.604863201491995;0.639561434385675;0.377039415302398;0.224092216348455;0.226909364918886;1.53132936347083
14;0.0507217680869269;1.0197766436784;4.27787330529472;8.83250623100019;12.8363598729801;12.9840104905275;13.5697827601685;8.79723434018664;6.37970547427;5.98266532570767;3.82415405646509;3.1120853699385;2.25813186035021;1.72806434144236;1.31974670251477;1.16086274922256;0.983011687120291;0.600177273071716;0.447161026251889;0.295590410494343;0.387444643581344;1.81048993130568
15;2.85948189061851;15.2190755028413;18.4776170113666;17.6130800577078;11.736436218454;7.65013662784159;5.72322814342669;4.88598248590437;3.14852100560467;1.55996582336758;1.0673538065302;0.706609467245834;0.422138642841377;0.428076603710199;0.332982869376867;0.279504442058068;0.251430921027921;0.220706204904851;0.133770957596268;0.0654493347985901;0.0336203361734167;0.0521555160391879
16;0;7.42635302471744;11.587498201919;14.6677191425123;12.4848467545757;10.4038239172982;8.82974637771165;6.31208675591991;5.03611855048156;3.39258600069481;2.40021969670295;2.0756989446309;1.33105773281878;1.2339630577248;0.587232842859876;0.428391575687237;0.33005702181168;0.261663567875897;0.108894308828523;0.0462159788835825;0.00894861843932176;0
17;0;0.319094493862211;2.35969599445829;10.2270612346581;11.9328434636456;12.2357005943807;11.6524876153537;10.0821073560619;8.14886323773915;6.76149541440493;5.23327373918977;4.21141445346404;2.95979573107814;2.02312260455425;1.65484310176754;1.25010362244461;0.818134902799216;0.518323261184888;0.509793393810178;0.228629177515199;0.114608329850891;0.358826982145106
18;0;0.46538095070105;2.20969033611551;6.00879359157065;10.2440058663202;13.2109553509113;11.1094023599729;11.1091780409327;9.04049195790738;6.48495976418833;5.10262711319202;4.2138032440432;3.02084894297777;2.11567403805374;1.79782445285965;1.3561321426966;1.41773501565477;0.839252973755801;0.570798754127378;0.314272837810876;0.368170612827256;0.604925170922028
19;0;4.87428759676939;14.2252507095356;17.4690435725134;17.1286414624387;10.4723199792756;8.17960205362904;4.87167620860112;3.79625035350124;2.54197657229584;1.68098897023685;1.10086552312568;0.906778052609203;0.612816471969773;0.353951116846715;0.114313448855981;0.137342575306707;0.109955288058275;0.107990136100157;0.147786398464589;0.125536668656371;0.0515193717964842
2;0.0384055392049182;1.25089758040872;7.14133577079008;11.8215093176207;15.0107421556235;13.7119813891275;12.1463289875029;8.54496546403575;6.22539643394854;5.28223271194931;4.347356957542;3.26093844168816;1.88764490947174;1.60057858753608;0.928112508351919;0.980040896401421;0.425476885409049;0.374656547862334;0.198800507750672;0.17981491245816;0.0663329616429302;0.115713303994491
20;0.178425108991507;8.4152701492016;9.42350282823947;13.3720480193481;12.3710808503136;12.018969201865;9.42967728681702;7.16908870731335;4.80148859828028;3.37719827403515;2.59735473332287;2.14037053367676;1.67882248667579;1.30182247161087;0.836430880643672;0.665213223931962;0.448499800076996;0.530588573672093;0.240292238383277;0.195950076634675;0.254831190252609;0.401713588729275
21;0.375016973534311;4.18613765034181;8.98278540822416;13.2142259449625;10.8994158776625;10.2735042904972;9.12084375296312;8.59855737409268;6.31311106011998;4.03299469401293;2.2862437858456;1.87119416751684;1.27089398073355;1.17358035547657;0.918043496590215;0.896665488674685;0.73423097401374;0.501676502735808;0.367074329022797;0.283157821221121;0.276494229133726;0.387006500466744
22;9.94362687550812;19.6350860178314;19.3554240181822;18.3113783205887;13.0386368962849;7.0856736935918;5.0196681523957;2.19411840986453;0.90141027679547;0.366930507450243;0.217766307104975;0.122771264372576;0.156732272414604;0.0963959188730689;0.0462660390969105;0.0342262212977708;0.0155043793849655;0.037145631327254;0.0331524666543593;0.0437183723088002;0.0271874208064727;0
23;2.38130712433322;4.14042801988509;7.05925590179036;12.194286802888;14.8103786713229;14.1559060734817;9.69536009687683;6.30813171865796;5.27184281802978;4.37681932768104;3.16470736379714;2.59450034821027;1.90658567173028;1.30817937311816;0.940285726537691;0.742624832350633;0.317188283467706;0.194020587274572;0.0736891945678751;0.0539729051225074;0.0110491096255759;0
