V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22
1;0;143.582278652205;432.665789238439;1090.57357212804;1348.05199414381;1179.89471016398;1124.36709324684;1052.4504896951;679.01751019318;490.159427931699;380.085507811292;244.960469470855;166.850495607275;105.955532430003;94.1744478610266;72.9524850050029;35.2220681919712;14.5117742245631;9.15697289329037;6.13266234107369;4.26229516594758;0
10;0;3978.8728103017;2417.95745452328;1573.83148641016;948.09288231768;510.292471304876;340.921886410226;225.101617852366;164.860652122879;123.218575796984;113.273989645923;67.3067837432771;40.6963310579932;14.13234850463;5.24699481963696;4.78245897752413;3.0653473904772;2.33380122594373;2.49650828310807;1.34062504580739;0.388638560615409;0
11;0;89.0105325692875;299.3082768152;639.028595679619;904.316217814663;1092.89308806283;1113.09674823955;954.098735450365;706.616538354546;518.232786587197;346.214562033369;265.862515000927;223.993331676392;181.35878247452;187.773348127671;130.131355218212;101.646488653628;77.1085229928213;117.793435225116;52.5571357505078;35.709483111222;62.5882942933549
12;248.003641904771;669.037219077844;1125.27588231115;1414.62132205687;1440.95636529129;1120.07617846202;796.502928896733;575.711140564143;439.347639022969;333.464598226728;183.492637820298;135.008619933444;69.3381883621169;69.1036185854045;51.0064058053541;39.2789243602759;37.5308523286081;30.7386383327568;14.5979863432425;7.09322120775688;1.05826364232261;0
13;34.8600105674756;450.248624717649;1075.33109780756;1041.68093459401;1139.04778796246;1023.86911399341;846.838916423601;607.102530427524;436.950986468961;274.377984461163;180.418604870344;129.573441389698;83.0824146830774;57.5896514018992;63.2089121376253;49.5807027926307;50.8557536919765;53.7731154710287;31.7007607496839;18.8412496094903;19.0781101317674;128.751275888279
14;4.24250972938527;85.29695426214;357.813219122936;738.775382507463;1073.66883499956;1086.01874323661;1135.01436477916;735.825143476091;533.616306490288;500.406764379188;319.862879452794;260.303474398098;188.876428190598;144.540106902593;110.387284137008;97.0977884607108;82.2218310599893;50.2004960867866;37.4017916966994;24.7240039086582;32.4069473914045;151.434412447032
15;353.230340213887;1880.0046383391;2282.53060971655;2175.73480056306;1449.79598295214;945.017477676943;706.987454915136;603.562925660558;388.935194738984;192.701782906196;131.849671594773;87.2871072666982;52.1465713482924;52.880084627307;41.1332041029103;34.5270412389667;31.0591334977027;27.2637249781614;16.5246581968199;8.0849229622776;4.15310298820339;6.44274430797961
16;0;715.737005510723;1116.77982945309;1413.64534405951;1203.2644826658;1002.69967663046;850.993241335029;608.346258004332;485.371002256632;326.970632421193;231.328358962761;200.051699943043;128.284673874072;118.926883883278;56.5963232675798;41.2875206104371;31.8102335901636;25.2186097131939;10.4950150172874;4.4542033246717;0.862449892147686;0
17;0;26.3045781323084;194.521713312691;843.068547046545;983.684830881521;1008.65088078706;960.573675853477;831.119263375232;671.752141919332;557.384373095015;431.405306603999;347.168261030896;243.990979353711;166.776261096239;136.417113126223;103.052384301797;67.4430110434417;42.7280162581503;42.0248560121036;18.8470631081177;9.44774612274554;29.5799287338758
18;0;39.2231471559195;186.236692954257;506.431977752177;863.383318452348;1113.44318029884;936.320498127674;936.301592113773;761.948992309941;546.564122892883;430.058630120168;355.146948920495;254.602605559449;178.3128295293;151.523892348405;114.297266606493;119.489268014427;70.7337565946326;48.1079500478641;26.4874824506576;31.0300842861205;50.9841860988336
19;0;460.987339242376;1345.35772550452;1652.14049350299;1619.9468529185;990.423077649489;773.588532047861;460.740366354642;359.031615352028;240.408263405668;158.980080124708;104.114715903454;85.7588300765744;57.957317710281;33.4750423190416;10.8112317095662;12.9892188547302;10.399057230683;10.213202343298;13.9769468362019;11.8726713827079;4.87246139100225
2;3.39129085548574;110.456918804204;630.595148429323;1043.86443405936;1325.48048172961;1210.79714172022;1072.5467022675;754.538637877395;549.715755468929;466.432391353779;383.880872417395;287.947805096375;166.683063235731;141.334496006822;81.9543099145637;86.5396971055301;37.5705145814872;33.0829706083303;17.5545079683307;15.8780394943976;5.85734169846384;10.2177310309525
20;22.8786170618771;1079.05072500189;1208.33168497079;1714.6351637216;1586.28582611272;1541.13619659356;1209.12340691037;919.258708285594;615.672421824061;433.042336307947;333.046647153099;274.449700982651;215.267554015347;166.926605671566;107.251619041387;85.2971798692326;57.5090313033151;68.0348907340679;30.8115496523191;25.1257616818022;32.6758114380039;51.50985428585
21;33.2995950470861;371.707678332562;797.625541237991;1173.35588488421;967.812554070262;912.234796638501;809.884418294546;763.508050976858;560.572071733285;358.109364682904;203.006790679595;166.15250090028;112.84890523051;104.207951507586;81.5175814149333;79.6193233179957;65.1959666658879;44.5463154062074;32.5943287138218;25.14297070934;24.5512777094792;34.3642039043692
22;1128.61683612517;2228.61224942717;2196.87018537145;2078.36940424396;1479.90520013535;804.234785355251;569.740001257405;249.035790343729;102.311443036285;41.6471729662662;24.716808425791;13.9347260006861;17.7893522781888;10.9410840064675;5.25126609428722;3.88472838705912;1.75977073824485;4.21608588388383;3.76285559521022;4.96210202307891;3.08581378174824;0
23;274.373951220849;477.05967195621;813.36670715906;1405.02441631315;1706.45024054413;1631.04197808165;1117.0983495184;726.822259415354;607.421163535595;504.296653062709;364.637242710082;298.938051588641;219.67659641558;150.728286931299;108.339620467457;85.5651534590764;36.5463999694544;22.3550312367288;8.49046108721953;6.21875233396318;1.27307722488356;0
24;0;2092.48325875332;2779.85053210853;1969.77097517316;1067.70416098562;612.774912389601;383.974182983166;241.082129433195;143.820619006587;94.3266463429085;87.1686103582587;47.5689778544603;48.9238323674023;21.6378924714189;23.7608014480574;24.858541248589;29.1904004597766;49.51833000731;18.2943933908611;11.8123013851955;0.773998028002885;0
25;745.001273010359;2168.63105283392;2496.56429882862;1248.07162257658;754.083905956988;558.076457925973;312.5174058553;277.075845116933;188.963475237479;141.107913062317;125.765853929089;88.0779066907852;110.390957277717;71.5784862227809;51.7292027926759;35.7375824506145;21.7688189918616;7.62822260230553;5.57654212688461;2.75553547627435;3.59257305633228;11.6920811614632
26;52.5514522747015;315.268470692995;877.547208630273;1319.68321697611;1542.05204980433;1384.43377573534;1303.77553777071;1104.73731550413;788.46921981342;479.76068804135;292.943416118319;246.280141406433;157.953554990823;128.234458799858;99.9717747682036;101.705834183345;78.4185318164025;49.3432394637726;64.4333897214984;51.1843711943875;48.6839543612053;294.909078252383
28;0.687201437868773;153.615224235079;225.201474021608;280.094157366635;626.865353986012;949.955517999219;950.53541275282;915.473666845687;782.720857903701;752.963538105426;613.921918271439;483.778254549347;363.833766216298;376.815760386315;263.864419339478;184.9755118075;152.957124552499;97.2919068834017;75.7435040670368;55.1621087753546;41.9853474946701;197.609025272068
29;121.041803953575;1175.48459497626;1964.1576970067;2185.84109081981;2211.38298599721;1582.47625664368;1016.42858566715;738.862081173052;503.267540812874;416.196972838076;323.551728998286;267.64961265162;216.457412503222;142.521668534525;113.36811239353;99.2072852734687;81.8730113936166;88.3948711830403;49.8870349983539;21.0566489815768;8.37538457061995;40.3210368295755
3;1226.81204891034;1970.24009702277;2615.07011702029;1841.42469703308;1254.9785246346;745.934265281639;406.96331499588;278.924571339054;197.139914958752;168.691162062701;131.032417571263;89.8408681369212;43.3627162830071;24.3452100002132;14.4533925799729;9.22786238375706;11.6270084077548;4.9684976167752;8.42019614093232;2.23365436866211;0;1226.81204891034
30;16.325444916896;604.514031879812;1570.18476421608;1951.03993018363;1913.07021426865;1436.67728769262;994.471706496324;664.590732963029;494.660846895534;313.673202660898;229.741724828379;162.29379870047;77.3076886757852;46.4121634759455;37.17765218558;26.596872887545;24.9243252926521;10.1340918058363;1.76203233057427;2.515852206644;1.37104962543607;1.06029211580588
